| Function										| Returns				| Meaning
| [BUKP_IsImmuneToStatus_StructX]				| Yes/No				| Part Variable (X = 1-9)
| 												|						|
| [HU_startHP_Struct1]							| Number Value			| Stat Upgrade Variable (Only Present on Mario/Partners)
| [HU_startFP_Struct1]							| Number Value			| Stat Upgrade Variable (Only Present on Mario/Partners)
| [HU_startBP_Struct1]							| Number Value			| Stat Upgrade Variable (Only Present on Mario/Partners)
| [HU_upgradeHP_Struct1]						| Number Value			| Stat Upgrade Variable (Only Present on Mario/Partners)
| [HU_upgradeFP_Struct1]						| Number Value			| Stat Upgrade Variable (Only Present on Mario/Partners)
| [HU_upgradeBP_Struct1]						| Number Value			| Stat Upgrade Variable (Only Present on Mario/Partners)
| [HU_PartnerLevel1HP_Struct1]					| Number Value			| Stat Upgrade Variable (Only Present on Mario/Partners)
| [HU_PartnerLevel2HP_Struct1]					| Number Value			| Stat Upgrade Variable (Only Present on Mario/Partners)
| [HU_PartnerLevel3HP_Struct1]					| Number Value			| Stat Upgrade Variable (Only Present on Mario/Partners)
| 												|						|
| [BUD_normal_StructX]							| Number Value			| Defense Variable (X = 1-10)
| [BUD_fire_StructX]							| Number Value			| Defense Variable (X = 1-10)
| [BUD_ice_StructX]								| Number Value			| Defense Variable (X = 1-10)
| [BUD_explosion_StructX]						| Number Value			| Defense Variable (X = 1-10)
| [BUD_electric_StructX]						| Number Value			| Defense Variable (X = 1-10)
| 												|						|
| [BUDA_normal_StructX]							| Conditional Phrase	| Defense Attribute Variable (X = 1-10)
| [BUDA_fire_StructX]							| Conditional Phrase	| Defense Attribute Variable (X = 1-10)
| [BUDA_ice_StructX]							| Conditional Phrase	| Defense Attribute Variable (X = 1-10)
| [BUDA_explosion_StructX]						| Conditional Phrase	| Defense Attribute Variable (X = 1-10)
| [BUDA_electric_StructX]						| Conditional Phrase	| Defense Attribute Variable (X = 1-10)
| 												|						|
| [SV_sleep_StructX]							| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_stop_StructX]								| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_dizzy_StructX]							| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_poison_StructX]							| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_confuse_StructX]							| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_electric_StructX]							| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_burn_StructX]								| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_freeze_StructX]							| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_huge_StructX]								| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_tiny_StructX]								| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_attack_up_StructX]						| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_attack_down_StructX]						| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_defense_up_StructX]						| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_defense_down_StructX]						| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_allergic_StructX]							| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_fright_StructX]							| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_gale_force_StructX]						| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_fast_StructX]								| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_slow_StructX]								| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_dodgy_StructX]							| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_invisible_StructX]						| Number Value			| Status Vulnerability Variable (X = 1-10)
| [SV_ohko_StructX]								| Number Value			| Status Vulnerability Variable (X = 1-10)
| 												|						|
| [BW_attackName_StructX]						| Conditional Phrase	| Weapon Variable (X = 1-16)
| [BW_accuracy_StructX]							| Number Value			| Weapon Variable (X = 1-16)
| [BW_fp_cost_StructX]							| Number Value			| Weapon Variable (X = 1-16)
| [BW_sp_cost_StructX]							| Number Value			| Weapon Variable (X = 1-16)
| [BW_superguard_state_StructX]					| Conditional Phrase	| Weapon Variable (X = 1-16)
| [BW_sylish_multiplier_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_bingo_slot_inc_chance_StructX]			| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_damage1_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_damage2_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_damage3_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_damage4_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_damage5_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_damage6_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_damage7_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_damage8_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_fpdamage1_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_fpdamage2_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_fpdamage3_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_fpdamage4_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_fpdamage5_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_fpdamage6_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_fpdamage7_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_base_fpdamage8_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_CannotTargetMarioOrShellShield_StructX]	| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotTargetPartner_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotTargetEnemy_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotTargetOppositeAlliance_StructX]		| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotTargetOwnAlliance_StructX]			| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotTargetSelf_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotTargetSameSpecies_StructX]			| Yes/No				| Weapon Variable (X = 1-16)
| [BW_OnlyTargetSelf_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_OnlyTargetMario_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_SingleTarget_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_MultipleTarget_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Tattlelike_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotTargetCeiling_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotTargetFloating_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotTargetGrounded_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Jumplike_StructX]							| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Hammerlike_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_ShellTosslike_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_RecoilDamage_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CanOnlyTargetFrontmost_StructX]			| Yes/No				| Weapon Variable (X = 1-16)
| [BW_TargetSameAllianceDirection_StructX]		| Yes/No				| Weapon Variable (X = 1-16)
| [BW_TargetOppositeAllianceDirection_StructX]	| Yes/No				| Weapon Variable (X = 1-16)
| [BW_element_StructX]							| Conditional Phrase	| Weapon Variable (X = 1-16)
| [BW_damage_pattern_StructX]					| Conditional Phrase	| Weapon Variable (X = 1-16)
| [BW_ac_level_StructX]							| Conditional Phrase	| Weapon Variable (X = 1-16)
| [BW_BadgeCanAffectPower_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_StatusCanAffectPower_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_IsChargeable_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CannotMiss_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_DiminishingReturnsByHit_StructX]			| Yes/No				| Weapon Variable (X = 1-16)
| [BW_DiminishingReturnsByTarget_StructX]		| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PiercesDefense_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_IgnoreTargetStatusVulnerability_StructX]	| Yes/No				| Weapon Variable (X = 1-16)
| [BW_IgnitesIfBurned_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_FlipsShellEnemies_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_FlipsBombFlippableEnemies_StructX]		| Yes/No				| Weapon Variable (X = 1-16)
| [BW_GroundsWingedEnemies_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_CanBeUsedAsConfusedAction_StructX]		| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Unguardable_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Electric_StructX]							| Yes/No				| Weapon Variable (X = 1-16)
| [BW_TopSpiky_StructX]							| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreemptiveFrontSpiky_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_FrontSpiky_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Fiery_StructX]							| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Icy_StructX]								| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Poison_StructX]							| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Explosive_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_VolatileExplosive_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_Payback_StructX]							| Yes/No				| Weapon Variable (X = 1-16)
| [BW_HoldFast_StructX]							| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferMario_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferPartner_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferFront_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferBack_StructX]						| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferSameAlliance_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferOppositeAlliance_StructX]			| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferLessHealthy_StructX]				| Yes/No				| Weapon Variable (X = 1-16)
| [BW_GreatlyPreferLessHealthy_StructX]			| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferLowerHP_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferHigherHP_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_PreferInPeril_StructX]					| Yes/No				| Weapon Variable (X = 1-16)
| [BW_ChooseWeightedRandomly_StructX]			| Yes/No				| Weapon Variable (X = 1-16)
| [BW_sleep_chance_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_sleep_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_stop_chance_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_stop_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_dizzy_chance_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_dizzy_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_poison_chance_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_poison_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_poison_strength_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_confuse_chance_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_confuse_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_electric_chance_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_electric_time_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_dodgy_chance_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_dodgy_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_burn_chance_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_burn_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_freeze_chance_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_freeze_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_size_change_chance_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_size_change_time_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_size_change_strength_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_atk_change_chance_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_atk_change_time_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_atk_change_strength_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_def_change_chance_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_def_change_time_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_def_change_strength_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_allergic_chance_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_allergic_time_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_ohko_chance_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_charge_strength_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_fast_chance_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_fast_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_slow_chance_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_slow_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_fright_chance_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_gale_force_chance_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_payback_time_StructX]						| Number Value			| Weapon Variable (X = 1-16)
| [BW_hold_fast_time_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_invisible_chance_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_invisible_time_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_hp_regen_time_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_hp_regen_strength_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_fp_regen_time_StructX]					| Number Value			| Weapon Variable (X = 1-16)
| [BW_fp_regen_strength_StructX]				| Number Value			| Weapon Variable (X = 1-16)
| [BW_stage_background_fallweight1_StructX]		| Number Value			| Weapon Variable (X = 1-16)
| [BW_stage_background_fallweight2_StructX]		| Number Value			| Weapon Variable (X = 1-16)
| [BW_stage_background_fallweight3_StructX]		| Number Value			| Weapon Variable (X = 1-16)
| [BW_stage_background_fallweight4_StructX]		| Number Value			| Weapon Variable (X = 1-16)
| [BW_stage_nozzle_turn_chance_StructX]			| Number Value			| Weapon Variable (X = 1-16)
| [BW_stage_nozzle_fire_chance_StructX]			| Number Value			| Weapon Variable (X = 1-16)
| [BW_stage_ceiling_fall_chance_StructX]		| Number Value			| Weapon Variable (X = 1-16)
| [BW_stage_object_fall_chance_StructX]			| Number Value			| Weapon Variable (X = 1-16)
| 												|						|
| [LOGIC_ElementalWeakness_StructX]				| Conditional Phrase	| Determines an Enemy's Elemental Weakness (X = 1-10)
| [LOGIC_ElementalImmunity_StructX]				| Conditional Phrase	| Determines an Enemy's Elemental Immunity (X = 1-10)
| [LOGIC_StatusStrength_StructX]				| Conditional Phrase	| Determines an Enemy's Most-Resistant Status (X = 1-10)
| [LOGIC_StatusWeakness_StructX]				| Conditional Phrase	| Determines an Enemy's Least-Resistant Status (X = 1-10)
| [LOGIC_SuperguardYN_StructX]					| Yes/No				| Determines if attack is Superguardable at all (X = 1-16)
| [LOGIC_StatusAffliction_StructX]				| Conditional Phrase	| Determines most likely status affliction from an attack (X = 1-16)
+-----------------------------------------------+-----------------------+---------------------------------------------------------------------
